Wavelength,kd_Jerlov_I,kd_Jerlov_II,kd_Jerlov_III,kd_Jerlov_1,kd_Jerlov_3,kd_Jerlov_5,kd_Jerlov_7,kd_Jerlov_9
350,0.062,0.175,0.32,1.2,1.7,2.3,3,3.9
375,0.038,0.122,0.22,0.8,0.78,1.1,1.6,2.4
400,0.028,0.096,0.185,0.51,0.78,1.1,1.6,2.4
425,0.022,0.081,0.16,0.36,0.54,0.78,1.2,1.9
450,0.019,0.068,0.135,0.25,0.39,0.56,0.89,1.6
475,0.018,0.062,0.116,0.17,0.29,0.43,0.71,1.23
500,0.027,0.07,0.115,0.14,0.22,0.36,0.58,0.99
525,0.043,0.076,0.116,0.13,0.2,0.31,0.49,0.78
550,0.063,0.089,0.12,0.12,0.19,0.3,0.46,0.63
575,0.089,0.115,0.148,0.15,0.21,0.33,0.46,0.58
600,0.235,0.26,0.295,0.3,0.33,0.4,0.48,0.6
625,0.305,0.335,0.375,0.37,0.4,0.48,0.54,0.65
650,0.36,0.4,0.445,0.45,0.46,0.54,0.63,0.76
675,0.42,0.465,0.52,0.51,0.56,0.65,0.78,0.92
700,0.56,0.61,0.66,0.65,0.71,0.8,0.92,1.1
